episode:101; total step:97; total_reword:-11.662 loss:0.02494; actual_eps:0.96; ave_Q:-4.536080837249756
episode:102; total step:89; total_reword:-12.188 loss:0.02641; actual_eps:0.96; ave_Q:-5.581391334533691
episode:103; total step:82; total_reword:-11.360 loss:0.02377; actual_eps:0.96; ave_Q:-4.844360828399658
episode:104; total step:250; total_reword:-67.097 loss:0.02318; actual_eps:0.96; ave_Q:-12.211453437805176
episode:105; total step:250; total_reword:-3.631 loss:0.02390; actual_eps:0.96; ave_Q:-13.092146873474121
episode:106; total step:250; total_reword:-66.214 loss:0.02735; actual_eps:0.96; ave_Q:-13.74488639831543
episode:107; total step:250; total_reword:-42.315 loss:0.02597; actual_eps:0.96; ave_Q:-10.573538780212402
episode:108; total step:250; total_reword:-74.573 loss:0.02530; actual_eps:0.96; ave_Q:-13.120469093322754
episode:109; total step:99; total_reword:-15.766 loss:0.03064; actual_eps:0.96; ave_Q:-4.775303363800049
episode:110; total step:86; total_reword:-11.776 loss:0.02877; actual_eps:0.96; ave_Q:-4.763283729553223
episode:111; total step:86; total_reword:-13.928 loss:0.02905; actual_eps:0.96; ave_Q:-5.356485366821289
episode:112; total step:250; total_reword:-43.779 loss:0.02755; actual_eps:0.96; ave_Q:-10.965271949768066
episode:113; total step:89; total_reword:-12.264 loss:0.03115; actual_eps:0.96; ave_Q:-4.135699272155762
episode:114; total step:94; total_reword:-12.537 loss:0.02741; actual_eps:0.96; ave_Q:-4.550233364105225
episode:115; total step:87; total_reword:-15.300 loss:0.03140; actual_eps:0.96; ave_Q:-5.414207458496094
episode:116; total step:83; total_reword:-12.822 loss:0.02898; actual_eps:0.96; ave_Q:-5.121075630187988
episode:117; total step:89; total_reword:-11.360 loss:0.03853; actual_eps:0.96; ave_Q:-3.710763692855835
episode:118; total step:83; total_reword:-11.602 loss:0.02671; actual_eps:0.96; ave_Q:-4.607108116149902
episode:119; total step:250; total_reword:-91.281 loss:0.02721; actual_eps:0.96; ave_Q:-14.566317558288574
episode:120; total step:89; total_reword:-14.232 loss:0.02813; actual_eps:0.96; ave_Q:-5.567523956298828
episode:121; total step:87; total_reword:-15.267 loss:0.02493; actual_eps:0.96; ave_Q:-6.191389560699463
episode:122; total step:89; total_reword:-17.573 loss:0.03132; actual_eps:0.96; ave_Q:-6.622317790985107
episode:123; total step:82; total_reword:-12.234 loss:0.02524; actual_eps:0.96; ave_Q:-5.2213335037231445
episode:124; total step:85; total_reword:-11.025 loss:0.02775; actual_eps:0.96; ave_Q:-3.883589744567871
episode:125; total step:90; total_reword:-12.157 loss:0.02815; actual_eps:0.96; ave_Q:-5.054194927215576
episode:126; total step:87; total_reword:-13.719 loss:0.03229; actual_eps:0.96; ave_Q:-5.862464904785156
episode:127; total step:86; total_reword:-11.158 loss:0.03342; actual_eps:0.96; ave_Q:-5.0449676513671875
episode:128; total step:250; total_reword:-64.647 loss:0.03034; actual_eps:0.96; ave_Q:-14.358968734741211
