episode:110; total step:250; total_reword:-28.156 loss:0.00713; actual_eps:0.96; ave_Q:-3.179938554763794
episode:111; total step:140; total_reword:-26.232 loss:0.00697; actual_eps:0.96; ave_Q:-7.3373894691467285
episode:112; total step:142; total_reword:-24.413 loss:0.00893; actual_eps:0.96; ave_Q:-6.685300827026367
episode:113; total step:250; total_reword:-41.182 loss:0.00739; actual_eps:0.96; ave_Q:-6.365265846252441
episode:114; total step:250; total_reword:-13.118 loss:0.00991; actual_eps:0.96; ave_Q:2.0645105838775635
episode:115; total step:250; total_reword:-7.314 loss:0.00598; actual_eps:0.96; ave_Q:-0.5112662315368652
episode:116; total step:250; total_reword:-15.356 loss:0.00731; actual_eps:0.96; ave_Q:0.03315658122301102
episode:117; total step:250; total_reword:11.537 loss:0.00879; actual_eps:0.96; ave_Q:5.074591636657715
episode:118; total step:139; total_reword:-22.520 loss:0.00712; actual_eps:0.96; ave_Q:-5.8655314445495605
episode:119; total step:250; total_reword:0.907 loss:0.00694; actual_eps:0.95; ave_Q:4.321578502655029
episode:120; total step:250; total_reword:-48.513 loss:0.00867; actual_eps:0.95; ave_Q:-6.400707721710205
episode:121; total step:250; total_reword:-31.147 loss:0.00878; actual_eps:0.95; ave_Q:-4.4590959548950195
episode:122; total step:250; total_reword:-16.296 loss:0.00728; actual_eps:0.95; ave_Q:-0.9198210835456848
episode:123; total step:250; total_reword:-29.791 loss:0.00705; actual_eps:0.95; ave_Q:-4.564022541046143
episode:124; total step:250; total_reword:-14.808 loss:0.00892; actual_eps:0.95; ave_Q:0.23482830822467804
episode:125; total step:250; total_reword:-34.290 loss:0.00803; actual_eps:0.95; ave_Q:-2.8921058177948
episode:126; total step:250; total_reword:-43.969 loss:0.00804; actual_eps:0.95; ave_Q:-6.266770362854004
episode:127; total step:250; total_reword:-25.971 loss:0.00817; actual_eps:0.95; ave_Q:-4.669070243835449
episode:128; total step:250; total_reword:-35.268 loss:0.00899; actual_eps:0.95; ave_Q:-5.517959117889404
episode:129; total step:147; total_reword:-23.782 loss:0.01107; actual_eps:0.95; ave_Q:-7.252133369445801
episode:130; total step:250; total_reword:-27.104 loss:0.01019; actual_eps:0.95; ave_Q:-2.611178398132324
episode:131; total step:250; total_reword:-35.054 loss:0.00681; actual_eps:0.95; ave_Q:-4.3093414306640625
